;Asunción;Augusto Weberbauer;Cachachi;Celendín;Cospán;Granja Porcón;Hacienda Llagadén;Jesús Túnel;Llapa;Magdalena;Matara;Namora;Quilcate;San Juan;Sayapullo
1/02/1969;6;68.6;51.7;126.3;29.8;176.5;88.4;;151.8;54.5;91.5;137;109.4;156.2;
1/03/1969;208;83.5;53.7;128.9;168.9;183;111.7;;247;116.8;82.6;90.4;189.9;199.6;
1/04/1969;121;85.7;1418.7;185.3;69.9;167.5;73.7;;118.5;86.4;103;83.4;217.8;107.4;
1/05/1969;0;1.5;399.2;4.7;0;18.5;2.3;;27;0;0;13.5;49.4;1.6;
1/06/1969;0;19.6;238.2;86.8;5;64;6.2;;0;2.3;26.4;16.7;101.3;18.7;
1/07/1969;0;0.3;0;1.6;0;5.5;0;;9.2;0;0;3.6;15.3;4.6;
1/08/1969;0;;0;7.5;5.1;15;1;;14.2;0;0;17.1;38.8;8.6;
1/09/1969;0;18.4;13.9;56.6;4.4;42;;;12;0;34;28;29.5;3.3;
1/10/1969;130;;182.2;213.3;24.3;105;33.7;;109.7;18.4;86.1;69.5;206.3;55.7;
1/11/1969;114;106.4;255.6;308.6;81.2;208;65.3;;70;34;117;57.5;141.8;126;
1/12/1969;238;162;160;197.9;54.3;182.5;67.8;;125.6;61.8;108.2;80;135.8;162.8;
1/01/1970;103;71;98;147.6;;107;;;166.1;34.4;106.9;56.2;154;161;
1/02/1970;53;41.8;9.3;51.1;;123.5;;;61.3;26.2;50.6;23.3;92.3;96.4;
1/03/1970;57;79.9;61.5;113.6;;140.5;92.2;;118.2;46.6;51;53.7;86.3;116.9;
1/04/1970;72;54.5;62.5;96.7;;127;;;125.3;62.7;89;52.2;188.3;124.4;
1/05/1970;17;33.8;264.7;42.4;34.3;91;0.3;;112.4;33.44;42.5;34.1;;28.8;
1/06/1970;28;19.9;39.2;20.4;18.2;33.5;15.1;;57.9;10.7;21.4;23.3;;25.1;
1/07/1970;0;3.2;3.9;11;0;22.5;0;;3.2;0;0.4;8;;2.2;
1/08/1970;19;2.5;5.6;2.8;0;25;;;7.4;1.5;5.5;0;;10.8;
1/09/1970;25;18.2;43.5;18.3;30;74;;;64.2;9.4;31.5;21.3;;28.6;
1/10/1970;97;103;164.1;91.4;68.5;122.5;65;;106.2;81.9;104.3;208.2;;115.6;
1/11/1970;59;51.4;132.2;99.3;27.9;207;40;;110.4;11;69.4;52.6;;61.4;
1/12/1970;6;54.1;;126;36.8;117.5;17.2;;118.3;27.9;114.8;94;;82.8;
1/01/1971;28;58.4;103.2;125.1;35.1;140;48.7;;67.9;25.1;69.9;31;;97.7;
1/02/1971;71;97.8;40.5;120.2;9.1;130.5;52.2;;106;60.8;121.3;35.8;;137.1;
1/03/1971;313;275.7;343.8;144.1;374.4;476.5;234.9;;424.8;204.1;257.2;132.6;285.3;357.5;
1/04/1971;84;54.7;255.2;116.6;15.3;153.5;113.8;;158.7;46.8;146.7;7.4;201.2;148.9;
1/05/1971;6;8;23;44.3;0;117.5;0;;18.6;6.2;29.2;12.5;7.8;14;
1/06/1971;0;12.2;1.8;16.4;16.7;65;13.6;;24.3;4.5;9;11.1;31.8;15.5;
1/07/1971;0;17.6;20.3;5.1;4.3;72;1.8;;18.7;0.9;5.8;19.4;8.5;4.9;
1/08/1971;21;17.2;18;16.8;0;37.5;19.2;;29.2;4.5;4.2;13.3;39.7;27.2;
1/09/1971;32;28.1;7.3;17.9;6.8;76;10;;52.1;8.2;28.6;31.6;32.5;39.3;
1/10/1971;33;89.8;36.1;131.3;40.3;220.5;46.5;;95;21.4;82.9;84.9;265.9;78.2;
1/11/1971;13;45.8;33.8;171.4;6.6;163;12.1;;78;25;81.5;24.5;77.6;34.8;
1/12/1971;42;64.9;207.2;131.5;45.3;166;40.5;;108.5;47;78.7;73.1;74.5;142.9;
1/01/1972;92;55.5;0.1;41.8;48.9;104;53.4;;66.2;40.6;68.5;9.1;123.3;81.1;
1/02/1972;120;67.6;28.4;63.7;9.6;150;96.8;;87.9;51.7;62.7;27.5;47.1;144.6;
1/03/1972;166;113.8;312.4;196.3;230.9;257;175.2;;325;109.8;175.7;105;56.3;294.6;
1/04/1972;45;76.2;174.5;184.1;3.5;149.5;33.5;;89.9;27.5;95.1;117;34.3;111;
1/05/1972;12;18.1;26.5;58.4;39.2;55.2;8.3;;75.4;10.8;39.5;25.3;26.4;37.6;
1/06/1972;0;4.4;1.2;0;0;14.5;1.8;;15.6;0.4;7.7;4.8;58;0.5;
1/07/1972;0;3.4;0;0;11.2;0;0;;1.3;0.2;0;2.6;5.9;2.3;
1/08/1972;0;20.6;4.2;21.4;24.9;47;1.5;;3.3;0;0;6.1;23.6;0;
1/09/1972;11;;45.8;66.2;44.3;;19.2;;63.9;7.4;25.7;38.8;37.2;35.7;
1/10/1972;0;31.4;152.6;31.8;23.2;29.5;15.2;;35.8;15.8;19.5;55.4;52;23.9;
1/11/1972;32;66.5;66.9;181.4;70;174.2;30.6;;40.2;26.5;64.6;54.6;111.8;47.3;
1/12/1972;0;50.2;113;89.3;107.6;119.7;62.3;;90.7;33.2;98.5;71.5;97.9;93.9;
1/01/1973;196;95.3;341.7;75.5;264.3;186.3;125;;227.5;109.3;130.2;120.1;147.9;218.4;
1/02/1973;35;70.8;95.1;49.1;115.1;103;107.7;;103.4;55.2;135.6;82.3;39.6;165.3;
1/03/1973;87;92.5;123.2;104.7;251.8;203;159.9;;256.3;89.6;100.5;54.3;158.1;298.6;
1/04/1973;224;101.6;319.8;163.1;238.5;198.3;110.3;;245;110.7;175.3;161.1;207.1;216;
1/05/1973;2;23.7;35.6;28.5;37.5;62;19.2;;67.6;13.5;40.1;5.1;73.9;29.8;
1/06/1973;0;28.7;0;8.7;56.6;70.6;11.7;;47;8.7;36.8;45.2;72.9;32.6;
1/07/1973;0;8.4;46.2;29;2;33.9;0;;23.3;0;10.2;2.1;67.3;1.5;
1/08/1973;0;19.3;0;6.4;23.2;124.4;0;;26.3;0;15.3;2.4;53.1;4.4;
1/09/1973;38;91;115.8;47;92.4;139.4;51.9;;96;23.3;72.4;76.4;28.8;68.4;
1/10/1973;23;67;162.7;45;100.4;22;45;;111.7;21.2;77.6;50.8;25.6;65.9;
1/11/1973;14;65.5;116;73;58.7;173.9;26.4;;62.7;10.5;83.1;99.2;58.9;64.5;
1/12/1973;83;75;87.1;93.7;121.5;121.3;70.2;;158.4;30.4;109.1;84.7;129.1;126.9;
1/01/1974;76;61.6;107.1;37;167.9;146.8;85;;63.9;46.5;98.8;102.1;;144.6;
1/02/1974;151;140;230.6;210.2;277.2;112.7;126.7;;178.3;82.1;145.7;103.1;67;242.6;
1/03/1974;86;89.1;334.2;185.1;123.7;159.7;45.4;;64.2;36.3;124.6;72;49.5;128;
1/04/1974;37;59;211.9;61.3;73.5;204.4;40.9;;113.4;28.5;58.3;24.3;64.5;80;
1/05/1974;22;4.6;0;0.2;3;51;0;;24.3;0;37.8;5.1;75.2;4.5;
1/06/1974;0;17.3;0;42.8;40.4;60;7.6;;61.5;;44.7;16.5;83;28.4;
1/07/1974;0;6.5;0;0;81.5;18;0;;12.7;0;17.1;0;101.5;3.8;
1/08/1974;0;27.3;0;42.2;29.9;59;0;;42.2;0;28.3;39.4;38;14.7;
1/09/1974;0;38.7;0;28.5;59.8;45;22.3;;47.3;15.1;51.5;102.9;70;41.4;
1/10/1974;16;70.7;66.7;152;85.2;81.6;21.4;;102.1;17.2;41.1;74.1;66.5;41.8;
1/11/1974;0;55.1;106.1;109.1;60.4;62.5;25.5;;36.8;19.8;35.5;33.8;38.7;65.2;
1/12/1974;11;76.8;63.6;77.3;61.4;104;0;;26.3;11;33;39.7;53;65.1;
1/01/1975;45;95.6;0;56.4;172.9;108.1;49.5;;161.1;53.9;17.8;80.4;28.5;103.3;
1/02/1975;76;156.5;305.5;209.8;249.9;23.3;138.6;;191.3;86.3;206.2;99.1;173.5;266.8;
1/03/1975;277;202;752.3;176.2;434;175.2;144;;325.2;169.8;240;225.5;166.5;298.3;
1/04/1975;21;68.8;302.7;131.6;109.2;224.7;111.5;;141.4;64.4;100.2;59.1;119.5;128.8;
